fire_name,fire_size,fire_size_class,Cause,latitude,longitude,state,discovery_month,putout_time,discovery_year,Vegetation,fire_mag,Temp_cont,Wind_cont,Hum_cont,remoteness
WHITFIELD RD.,1,B,Arson,34.8839,-98.2039,OK,Aug,0,2011,16,0.1,0,0,0,0.28268576
NICHOLS,78,C,Arson,36.78186,-96.004014,OK,Dec,0,2013,0,1,0,0,0,0.26083623
MULTIPLE,3,B,Arson,33.2892,-110.4575,AZ,May,0,2006,16,0.1,0,0,0,0.40223466
FY2000-STEWART-045,1.23,B,Miscellaneous,32.0988,-84.7623,GA,Mar,0,2000,12,0.1,0,0,0,0.160596367
LASILOO,1,B,Children,35.0623,-108.8434,NM,May,0,1997,15,0.1,0,0,0,0.38516862
LAKERIDGE1,1,B,Lightning,33.9848,-110.0857,AZ,Jul,0,1997,16,0.1,0,0,0,0.398095089
AGARD,1,B,Debris Burning,46.1144,-100.6923,ND,Apr,0,2001,9,0.1,0,0,0,0.301474802
4410,1,B,Smoking,45.39555556,-121.5536111,OR,May,0,1995,9,0.1,-1,-1,-1,0.508340409
LINDEN - 411,1,B,Miscellaneous,33.58500167,-95.08555556,TX,Aug,0,2011,16,0.1,0,0,0,0.254208821
BUCK LAKE,9.1,B,Campfire,29.1325,-81.62,FL,May,0,2015,12,0.1,0,0,0,0.134826431
HOLZERS,17.9,C,Children,48.0443,-118.3853,WA,May,0,2001,15,1,0,0,0,0.475402758
WLDFR-BOYE,40,C,Equipment Use,41.533,-96.0333,NE,Aug,0,2002,15,1,0,0,0,0.258835869
FY2014-CHATTOOGA-020,5.7,B,Debris Burning,34.50582778,-85.44243889,GA,Mar,0,2014,16,0.1,-1,-1,-1,0.16507423
FRIEBORN,1.5,B,Lightning,33.7319444,-109.026667,NM,Jul,3,2010,16,0.1,26.13095238,4.513095238,46.64285714,0.387828174
LONESOME,1,B,Lightning,40.22861111,-120.6713889,CA,Jun,1,2006,14,0.1,14.75,1.102083333,62.88888889,0.501108479
FY2014-BLECKLEY-006,10,C,Arson,32.51734167,-83.2437,GA,Dec,0,2013,12,1,0,0,0,0.146685776
CROOKED RD,2,B,Debris Burning,42.9758,-108.9493,WY,Mar,0,2006,4,0.1,0,0,0,0.382382047
VICTORY,125,D,Miscellaneous,35.5728,-98.3378,OK,Feb,0,1997,15,3,-1,-1,-1,0.283528184
FY2012-FULTON SOUTH-002,6,B,Miscellaneous,33.55983163,-84.47725968,GA,Nov,0,2011,16,0.1,0,0,0,0.157013721
FY2015-TREUTLEN-022,0.8,B,Debris Burning,32.45075,-82.61933333,GA,Dec,0,2014,12,0.1,0,0,0,0.14116067
8.52E+12,5,B,Campfire,31.55336502,-90.38181672,MS,Nov,0,2014,12,0.1,0,0,0,0.212060173
LEYBA,1,B,Miscellaneous,35.5773,-106.3884,NM,Jan,0,1995,15,0.1,0,0,0,0.36082993
INDIAN CREEK,46.4,C,Arson,37.73305556,-91.075,MO,Mar,0,2012,0,1,0,0,0,0.214503709
LITTLE KID,1,B,Children,43.3214,-101.0335,SD,Apr,0,1997,9,0.1,-1,-1,-1,0.305529384
BURLINGTON ROAD (39),1,B,Arson,30.3595,-84.8169,FL,Jun,0,2015,12,0.1,0,0,0,0.162400729
WEST HUNGRYLAND (43),76,C,Lightning,27.0042,-80.3196,FL,Jul,0,2015,12,1,0,0,0,0.125151031
UNIT6-04-1,1400,F,Arson,29.94,-93.66566,LA,Dec,1,2003,12,50,-1,-1,-1,0.243654786
GREEN MOUNTAIN,510,E,Lightning,47.95055556,-115.6347222,MT,Aug,18,2000,15,10,21.98275862,2.660344828,0,0.447602569
LUCKY2,30,C,Equipment Use,34.197,-103.532,NM,Mar,0,2011,16,1,0,0,0,0.334009691
1448 LIBERTY CHURCH RD.,1,B,Debris Burning,36.0107,-80.650283,NC,Jan,0,2014,0,0.1,0,0,0,0.121359834
FY2003-PICKENS-022,2.58,B,Smoking,34.47177707,-84.5915675,GA,Nov,0,2002,16,0.1,-1,-1,-1,0.157440183
REFINERY,3,B,Arson,47.9739,-101.8572,ND,Aug,0,2011,15,0.1,-1,-1,-1,0.312237105
CAMP BRANCH,21,C,Debris Burning,37.87450077,-82.18528731,WV,Mar,0,2014,0,1,-1,-1,-1,0.133942411
NO LYNNDYL,563,E,Railroad,39.6028,-112.32612,UT,Jun,3,2005,0,10,-1,-1,-1,0.417145834
TH1309,4,B,Arson,47.9917,-98.9087,ND,Apr,0,2000,15,0.1,-1,-1,-1,0.284125112
BANNING LANE,5,B,Arson,35.34527778,-82.63527778,NC,May,1,2006,15,0.1,16.75,2.81875,47.390625,0.139386122
YATSATTIE,15,C,Debris Burning,34.8834,-109.034,NM,Mar,0,1996,16,1,0,0,0,0.387154268
MARSHMELLO,3,B,Children,43.255,-100.8376,SD,May,0,2002,9,0.1,0,0,0,0.303680272
212CHL,168.3,D,Miscellaneous,45.0917,-100.4587,SD,Apr,0,1992,9,3,0,0,0,0.29950621
VALLEY 2,1.3,B,Miscellaneous,33.50411,-116.3795,CA,Oct,5,2013,16,0.1,13.17653631,2.894382022,68.92655367,0.461235574
LONG  CYN.,5.2,B,Lightning,33.7556,-109.6509,AZ,Jun,3,2005,16,0.1,17.56132075,6.702830189,30.04245283,0.393958248
BLUEBELLSP,3,B,Lightning,39.4555,-109.9757,UT,Aug,0,1996,0,0.1,0,0,0,0.393925017
COWHOUSE ISLAND 1,29,C,Arson,31.0201,-82.23888889,GA,Apr,16,2006,12,1,0,0,0,0.138827041
ELIZABETH STREET,1,B,Lightning,39.28266823,-80.58605765,WV,Apr,0,1995,0,0.1,0,0,0,0.119052711
FREEWAY 2,8,B,Miscellaneous,39.951177,-122.200397,CA,May,0,2014,0,0.1,0,0,0,0.516930826
WENDY,3,B,Miscellaneous,35.92829376,-119.3128859,CA,Jun,0,1999,15,0.1,0,0,0,0.489449877
CREW CAB,1,B,Equipment Use,46.1525,-100.6915,ND,May,0,2005,9,0.1,0,0,0,0.301458187
BITTER,0.86,B,Miscellaneous,35.675633,-120.347045,CA,Jun,0,2015,15,0.1,-1,-1,-1,0.500160365
ELK TRACE,9,B,Fireworks,37.7073881,-81.73046153,WV,May,0,2014,0,0.1,0,0,0,0.129986501
FY2002-FLOYD-087,9.77,B,Debris Burning,34.4816,-85.1115,GA,Apr,0,2002,16,0.1,0,0,0,0.162109079
FIGHTER,4.5,B,Arson,48.8525,-99.685,ND,Oct,0,2006,15,0.1,0,0,0,0.291362207
FY2000-COOK-072,1.53,B,Debris Burning,31.1042,-83.4365,GA,Feb,0,2000,12,0.1,-1,-1,-1,0.149447823
LEFT FORK MILL CREEK,10,C,Arson,38.10122629,-82.52840463,WV,Nov,0,1999,0,1,-1,-1,-1,0.136880055
HONDO,2,B,Lightning,35.6845,-106.5517,NM,Jul,1,2001,15,0.1,0,0,0,0.362356855
"1947 RAGLAND GULLY RD, AL",15,C,Debris Burning,32.9559005,-87.2862652,AL,Oct,0,2011,12,1,-1,-1,-1,0.182786387
LEFT HAND,2,B,Lightning,33.77555556,-108.8855556,NM,Nov,0,2013,16,0.1,0,0,0,0.38641165
XMASBEAR1,69,C,Miscellaneous,26.24378,-81.17459,FL,Dec,0,1999,12,1,-1,-1,-1,0.133413062
MANDER,94,C,Children,43.2319,-102.5316,SD,Mar,0,1994,9,1,-1,-1,-1,0.319914316
INC. 705,5.6,B,Lightning,46.07944444,-117.4258333,WA,Aug,1,2011,9,0.1,-1,-1,-1,0.466069388
UPS FIRE,1,B,Debris Burning,35.6995,-80.25333333,NC,Apr,0,2010,15,0.1,0,0,0,0.118036201
FY2016-HOUSTON-003,4.89,B,Debris Burning,32.37227778,-83.84344444,GA,Aug,0,2015,12,0.1,0,0,0,0.152154706
1603 17 MILE FIRE,4.2,B,Debris Burning,42.9808,-108.4483,WY,Apr,0,2012,4,0.1,0,0,0,0.377458916
SOUTHSIDE,2,B,Arson,47.9833,-98.9369,ND,Aug,0,2015,15,0.1,-1,-1,-1,0.284393953
10442,3,B,Equipment Use,34.29633334,-95.40200001,OK,Oct,0,2003,16,0.1,-1,-1,-1,0.256698929
SENECA FIRE,2.2,B,Debris Burning,38.86861111,-79.36194444,WV,Apr,2,2009,0,0.1,9.403669725,0.155963303,63.51428571,0.108453123
THOMPSON,1,B,Lightning,35.90638889,-106.6447222,NM,Aug,0,2002,15,0.1,-1,-1,-1,0.363131562
SHEEP PASTURE ROAD FIRE,2,B,Debris Burning,35.12,-77.83833333,NC,Apr,0,2010,15,0.1,0,0,0,0.097162564
TOWN HILL,1,B,Debris Burning,37.10551834,-82.8234024,KY,Dec,0,2013,0,0.1,0,0,0,0.140041021
9N CORN,470,E,Equipment Use,42.2017,-96.5558,NE,Mar,0,2010,9,10,0,0,0,0.263485515
FY2014-WALKER-051,8.71,B,Smoking,34.67888889,-85.30972222,GA,Apr,0,2014,16,0.1,0,0,0,0.163768014
SHAWN,4.9,B,Debris Burning,48.8655,-99.8528,ND,Apr,0,2010,15,0.1,0,0,0,0.292956475
SQUAWCREEK,32.4,C,Lightning,41.2352,-116.7362,NV,Jul,1,2001,15,1,27.11111111,4.811111111,37.77777778,0.460653391
10316,15,C,Lightning,34.41000001,-95.91016668,OK,Jun,0,2009,16,1,0,0,0,0.261386246
ROLLF,1,B,Arson,39.936181,-122.09345,CA,Aug,0,2004,0,0.1,0,0,0,0.515836908
FLAT TOP,1,B,Arson,35.7239,-94.5942,OK,Nov,0,2008,15,0.1,0,0,0,0.248259584
GABLE FIRE,656,E,Equipment Use,34.8,-102.24,TX,Jul,0,2011,16,10,0,0,0,0.321193271
HORSETHIEF,25,C,Equipment Use,46.4764,-108.6832,MT,Nov,1,2007,9,1,-1,-1,-1,0.378770212
COON CREEK FIRE,15,C,Debris Burning,37.10174179,-83.29543304,KY,Apr,1,2013,0,1,5.591549296,1.985714286,47.1,0.144258085
OAK,3,B,Equipment Use,38.886764,-123.16392,CA,Oct,0,2009,0,0.1,0,0,0,0.527365285
TH1714,1,B,Arson,47.9825,-99.0073,ND,Apr,0,2004,15,0.1,-1,-1,-1,0.285061773
ADA STROUD RD FIRE,1,B,Smoking,35.36848333,-77.94196666,NC,Mar,0,2010,15,0.1,0,0,0,0.097916403
EIDSNESS,72,C,Debris Burning,48.198,-98.428,ND,Apr,0,2008,15,1,-1,-1,-1,0.279536662
SWEENEY,10,C,Campfire,37.21778,-87.73299,KY,Mar,1,2012,0,1,11.07118056,0,0,0.184199192
GB2 FIRE,1,B,Lightning,29.9604,-93.665,LA,Aug,0,2003,12,0.1,-1,-1,-1,0.243632333
WARD ROAD,1.5,B,Miscellaneous,46.38,-120.337,WA,Jun,0,2007,9,0.1,0,0,0,0.495629656
96,1,B,Arson,47.9783,-99.0225,ND,Apr,0,2007,15,0.1,0,0,0,0.285206674
CADE,1,B,Debris Burning,41.81416667,-123.3583333,CA,Jun,0,2005,15,0.1,0,0,0,0.528093657
SHEEP,0.6,B,Lightning,34.33805556,-117.7088889,CA,Jul,1,2011,16,0.1,0,0,0,0.474129528
THUMB,1,B,Lightning,35.06555556,-112.0052778,AZ,May,0,2001,15,0.1,0,0,0,0.416416399
HOPE RD FIRE,3.8,B,Lightning,34.383335,-80.966667,SC,Jul,0,2011,16,0.1,0,0,0,0.125164071
GW1BLKFOOT,5,B,Smoking,48.6667,-112.4176,MT,May,0,1992,16,0.1,-1,-1,-1,0.415288379
FY2011-UPSON-070,2.45,B,Debris Burning,32.84417763,-84.40365152,GA,Apr,0,2011,12,0.1,0,0,0,0.156844145
ZURFLUH GRASS FIRE,1.68,B,Debris Burning,44.69583,-122.72389,OR,Aug,0,2014,15,0.1,0,0,0,0.52057593
WINDY,10,C,Arson,30.06666667,-84.61666667,FL,Mar,0,2005,12,1,-1,-1,-1,0.160832702
BEN LILLY,0.7,B,Lightning,32.88416667,-108.2183333,NM,Jul,0,2002,12,0.1,-1,-1,-1,0.380468743
FY2011-GLYNN-044,2.2,B,Lightning,31.27108084,-81.46903512,GA,Jun,1,2011,12,0.1,29.37142857,3.434285714,63.9,0.131794726
FY2012-STEPHENS-013,0.75,B,Debris Burning,34.51570968,-83.35523917,GA,Apr,0,2012,16,0.1,0,0,0,0.146332854
BOULDER DRIVE,5,B,Miscellaneous,45.66111111,-120.9672222,WA,Apr,0,2013,15,0.1,-1,-1,-1,0.502255277
MM 141,1,B,Missing/Undefined,40.62478,-118.22181,NV,Jul,1,2014,15,0.1,29.732,3.2375,14.91666667,0.475956022
SURVEY,1,B,Miscellaneous,44.29277778,-111.2758333,ID,Sep,1,2000,15,0.1,0.5,2.05,59.75,0.404925472
DOOLEN'S RIDGE,29,C,Arson,35.0192,-96.6255,OK,Mar,1,2013,15,1,8.450704225,5.895774648,47.61971831,0.267717074
109,5,B,Debris Burning,38.79,-95.83,KS,Apr,0,2015,0,0.1,0,0,0,0.258146786
BROKEN AXLE FIRE,42,C,Missing/Undefined,34.98655,-77.31756667,NC,Jun,0,2011,16,1,0,0,0,0.092694883
RL007,1,B,Arson,47.8686,-95.0864,MN,Mar,0,2003,15,0.1,0,0,0,0.248158309
121675-05161-03152015-1400,300,E,Miscellaneous,38.7425,-93.93444444,MO,Mar,0,2015,0,10,-1,-1,-1,0.240462714
JOHN VANN,3,B,Arson,35.7242,-94.5592,OK,Nov,0,2012,15,0.1,0,0,0,0.247932822
EGGERS,1.19,B,Lightning,44.345,-115.7677778,ID,Jul,7,2013,15,0.1,-1,-1,-1,0.449790091
FY2015-BALDWIN-004,1,B,Debris Burning,33.03691667,-83.31219444,GA,Oct,0,2014,16,0.1,0,0,0,0.146933568
VOLT CIRCLE,3,B,Equipment Use,35.74901666,-81.03288333,NC,Mar,0,2010,15,0.1,0,0,0,0.124901881
OLD 70,2,B,Debris Burning,34.825,-76.87333333,NC,Apr,0,2000,16,0.1,-1,-1,-1,0.088921759
RIVER,5,B,Debris Burning,26.49373,-98.8915,TX,Aug,0,2003,12,0.1,0,0,0,0.295691156
FY2002-BROOKS-057,2.35,B,Debris Burning,30.6758,-83.6773,GA,Jan,0,2001,12,0.1,-1,-1,-1,0.151930808
CEDAR GAP,33,C,Arson,36.27722222,-82.135,TN,Sep,5,2005,0,1,22.05833333,0.921666667,67.75652174,0.1343757
LIVINGSTON - 226,10,C,Debris Burning,31.18938333,-95.61306667,TX,Apr,0,2011,12,1,0,0,0,0.260857666
OTA 14,12.1,C,Equipment Use,43.14277,-116.07345,ID,Jun,0,2013,9,1,0,0,0,0.4532532
NAVAJO 1,1,B,Miscellaneous,35.25564,-109.02519,NM,May,0,2009,15,0.1,0,0,0,0.386836337
44,30,C,Debris Burning,39.15,-95.1,KS,Mar,0,2015,0,1,0,0,0,0.251137873
SECO,5,B,Miscellaneous,36.23638889,-121.4586111,CA,Oct,0,1995,0,0.1,0,0,0,0.511221204
CROCKER 2,4,B,Missing/Undefined,35.4125,-119.7908,CA,Jun,0,2011,15,0.1,0,0,0,0.494634976
BAR,15,C,Lightning,39.49527778,-121.1258333,CA,May,3,2013,0,1,16.36893204,2.49223301,43.26130653,0.506098956
WC 3-04-1,2,B,Miscellaneous,29.86305556,-93.45638889,LA,Dec,0,2003,12,0.1,-1,-1,-1,0.241771172
CAL-PAC 17,4,B,Arson,41.0332,-123.6512,CA,Oct,0,1998,15,0.1,0,0,0,0.531433953
5.92E+12,2,B,Debris Burning,30.6826327,-88.57432712,MS,Oct,0,2014,12,0.1,0,0,0,0.196176804
RL385,1,B,Miscellaneous,47.9733,-95.2519,MN,Apr,0,2000,15,0.1,0,0,0,0.24968784
FY2014-LAMAR-007,4,B,Arson,33.12555833,-84.19145,GA,Dec,0,2013,16,0.1,0,0,0,0.15474486
1019,1,B,Miscellaneous,39.29333,-88.368889,IL,Mar,0,2010,0,0.1,0,0,0,0.188928942
DAILY,2,B,Lightning,47.25583,-107.15017,MT,May,0,2014,15,0.1,0,0,0,0.363589001
LIMPY,0.8,B,Children,45.5275,-106.9812,MT,Mar,0,1995,15,0.1,0,0,0,0.362330608
CARVER CEMETERY,6,B,Campfire,38.4443,-83.2043,KY,Mar,0,2015,0,0.1,0,0,0,0.142736037
WILLOW CREEK,1600,F,Lightning,46.6617,-108.5317,MT,Jul,0,2006,15,50,0,0,0,0.377241625
FOURMILE,18,C,Lightning,41.6908,-116.4258,NV,Aug,1,2012,15,1,24.992,2.676,35.88,0.457337451
WILSON,160,D,Debris Burning,47.34027778,-114.7466667,MT,May,19,2001,15,3,17.4,2.844285714,0,0.438789786
MILE MARKER FIVE 5,1,B,Miscellaneous,39.44166667,-82.28555556,OH,Mar,0,2008,0,0.1,0,0,0,0.134057155
OLD HWY 27,1,B,Arson,36.86638889,-84.49083333,KY,Apr,1,2004,0,0.1,8.5,0.791666667,51.34782609,0.15509765
FY2002-DOOLY-024,12.1,C,Debris Burning,32.2014,-83.7933,GA,Jan,0,2001,12,1,0,0,0,0.151828363
CHRISTOPHER,3,B,Lightning,34.2722222,-111.035556,AZ,Sep,3,2010,16,0.1,24.69444444,1.643255814,24.85581395,0.407299304
PGE #2,1.5,B,Miscellaneous,36.05823,-119.49154,CA,Aug,0,2005,0,0.1,0,0,0,0.491194925
CON6029750,20,C,Miscellaneous,35.3947,-92.8079,AR,Feb,0,2014,15,1,0,0,0,0.231845206
SANDER'S,959,E,Debris Burning,36.80138889,-84.23555556,KY,Oct,9,2000,0,10,-1,-1,-1,0.152842942
LEVEE RD,1,B,Miscellaneous,32.7809,-114.6902,CA,Jul,0,1999,12,0.1,-1,-1,-1,0.444736726
KENSINGTON,1500,F,Debris Burning,39.83333333,-98.83333333,KS,Oct,1,1999,0,50,14.16666667,4.579166667,33.5,0.285965059
BN#3,2,B,Railroad,43.0333,-106.6673,WY,Aug,0,1995,9,0.1,-1,-1,-1,0.360016605
CIG,1,B,Miscellaneous,31.9167,-111.849,AZ,Oct,0,2010,12,0.1,0,0,0,0.416993423
FY2002-TAYLOR-040,2.81,B,Debris Burning,32.4415,-84.1977,GA,Mar,0,2002,12,0.1,0,0,0,0.155280456
3 MILE CREEK,1,B,Arson,38.43375043,-82.33221452,WV,Apr,0,1993,0,0.1,-1,-1,-1,0.134962938
HELPMEJACK LAKES,5,B,Lightning,66.9106,-153.675,AK,Jul,12,2011,0,0.1,12.79927835,2.005360825,68.98142415,0.858691289
BOULDER,0.8,B,Lightning,45.18722222,-116.3205556,ID,Jul,1,2003,9,0.1,21.125,1.758333333,50.91666667,0.455122993
WEITAS,8,B,Lightning,46.57666667,-115.4566667,ID,Aug,5,1998,15,0.1,0,0,0,0.446080708
RUSH FK.,11,C,Debris Burning,39.43448578,-80.97662087,WV,Mar,0,2001,0,1,0,0,0,0.12243759
CASITAS,4,B,Children,34.41611111,-119.3708333,CA,Sep,0,2002,16,0.1,-1,-1,-1,0.490974769
SHOE,5,B,Miscellaneous,42.8848,-116.10859,ID,Aug,1,2015,4,0.1,32.008,5.968,28,0.453696294
88,1,B,Arson,47.9669,-98.8708,ND,Jun,0,2010,15,0.1,-1,-1,-1,0.283770022
#9,1,B,Arson,34.8366667,-92.7663889,AR,Mar,1,2010,16,0.1,0,0,0,0.23180629
OTA 127,25,C,Arson,43.2533,-116.1603,ID,Jul,0,2011,9,1,0,0,0,0.454091437
208,4,B,Arson,47.9856,-98.8442,ND,May,0,2012,15,0.1,-1,-1,-1,0.283514644
BALLI,5,B,Arson,26.13027778,-98.15666667,TX,Jul,0,2009,12,0.1,0,0,0,0.289070151
21007,2,B,Miscellaneous,37.35,-94.83,KS,Feb,0,2015,0,0.1,0,0,0,0.249533738
SHIPROCK 1,83,C,Debris Burning,36.7875,-108.6911,NM,Apr,0,2009,0,1,0,0,0,0.382651688
DOYLE,8,B,Lightning,39.9932,-119.9877,CA,Jun,1,1996,0,0.1,21.28461538,1.811538462,40,0.49422023
52,5,B,Miscellaneous,39.01,-95.44,KS,Mar,0,2015,0,0.1,0,0,0,0.254386019
PHOEBE ISLAND,0.7,B,Campfire,47.855,-91.00777778,MN,Jul,1,2002,15,0.1,18.34722222,1.711111111,66.68055556,0.21032085
ARLENE,10610,G,Miscellaneous,31.33888889,-110.5458333,AZ,May,6,2011,12,100,11.13668981,3.83125,0,0.404507049
154,5,B,Arson,47.9047,-98.7833,ND,Apr,0,2005,15,0.1,-1,-1,-1,0.282951356
WELL,0.8,B,Lightning,45.0797,-105.0692,MT,Aug,0,2005,9,0.1,-1,-1,-1,0.343845405
57,0.6,B,Children,45.9916,-89.8529,WI,Apr,0,1997,15,0.1,0,0,0,0.200099583
CRANE CREEK #2,2,B,Debris Burning,37.26459122,-83.72733307,KY,Dec,1,2013,0,0.1,-1,-1,-1,0.148032343
FENCEMAKER,2,B,Miscellaneous,40.0649,-117.8626,NV,Jun,1,1994,14,0.1,26.96666667,5.008333333,19.04166667,0.472555388
493,10,C,Debris Burning,26.41166667,-98.92027778,TX,Jan,1,2007,12,1,0,0,0,0.296039658
FY2000-POLK-105,10.11,C,Debris Burning,34.0531,-85.2719,GA,Jan,0,1999,16,1,0,0,0,0.163831514
LICK CREEK,25,C,Arson,35.367933,-84.39156,TN,Oct,0,2007,15,1,0,0,0,0.155082743
DEVIL,1,B,Lightning,34.54833333,-118.6833333,CA,Sep,0,1998,16,0.1,-1,-1,-1,0.483888984
FY2000-GRADY-073,0.6,B,Debris Burning,30.8988,-84.1749,GA,Feb,0,2000,12,0.1,0,0,0,0.156217303
18TH AVE NE (11),2,B,Lightning,26.2639,-81.514,FL,Aug,0,2014,12,0.1,0,0,0,0.136404841
CARROL FIRE,2,B,Debris Burning,28.34296667,-97.71205,TX,Aug,0,2014,12,0.1,0,0,0,0.282890483
6.12E+12,2,B,Debris Burning,31.8859302,-89.20268668,MS,May,0,2015,12,0.1,0,0,0,0.201008976
FY2015-SEMINOLE-001,1.95,B,Debris Burning,31.01638889,-84.89972222,GA,Jul,0,2014,12,0.1,0,0,0,0.162637007
COLUMBIA,4.9,B,Arson,44.70000082,-67.80000333,ME,Jun,0,1992,15,0.1,0,0,0,0.006772443
2360 NORTH,70,C,Debris Burning,26.3825,-98.605,TX,Feb,1,2005,12,1,-12.07916667,3.025,72.79166667,0.293078765
POWERPLANT,7,B,Powerline,42.60045,-114.39701,ID,Aug,0,2000,4,0.1,0,0,0,0.436592795
SKU CANAL,2,B,Arson,41.7782,-122.6395,CA,Jul,0,2000,15,0.1,0,0,0,0.520688059
MALKUS II,1.1,B,Arson,38.45011,-76.09964,MD,Apr,0,1995,0,0.1,-1,-1,-1,0.080136043
FY2002-CARROLL-037,1.1,B,Campfire,33.6588,-85.1642,GA,Nov,0,2001,16,0.1,0,0,0,0.16312338
BRIMESTONE,125,D,Arson,36.3156,-84.47952,TN,Apr,2,2007,0,3,16.44583333,0.822916667,55.33333333,0.155309083
KENNEDY,1,B,Lightning,42.1547,-105.4692,WY,Jul,1,2000,9,0.1,-1,-1,-1,0.348672808
OLD TIMER,3,B,Missing/Undefined,46.44665,-111.96946,MT,Mar,4,1994,9,0.1,8.854166667,3.067708333,37.64583333,0.411244768
10448,6,B,Arson,34.14833333,-95.17966666,OK,Oct,0,2003,16,0.1,-1,-1,-1,0.254715148
PEARL DRIVE,2,B,Missing/Undefined,34.74143333,-76.63756667,NC,Jul,0,2011,16,0.1,0,0,0,0.086921049
T,10,C,Lightning,45.94527778,-115.3161111,ID,Aug,5,2003,15,1,20.00840336,0.888235294,64.60824742,0.444813255
BAX23614311,27,C,Debris Burning,36.26666,-92.28333,AR,Apr,0,2014,0,1,0,0,0,0.226468971
CLARK,1,B,Campfire,37.78222222,-118.9413889,CA,Sep,0,2011,0,0.1,0,0,0,0.48462904
623,4,B,Arson,34.0501,-95.0002,OK,Nov,0,1995,16,0.1,-1,-1,-1,0.253101707
